ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
8,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:269(_from_parsed_parts)
25,0.000,0.000,0.001,0.000,C:\Python314\Lib\pathlib\__init__.py:341(drive)
25,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:350(root)
32,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:359(_tail)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:60(__len__)
31,0.000,0.000,0.001,0.000,C:\Python314\Lib\pathlib\__init__.py:251(__str__)
25,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:330(_raw_path)
7,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:398(name)
8,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:276(_from_parsed_string)
10,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:157(with_segments)
14,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:190(__fspath__)
1,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:391(parents)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:172(__truediv__)
74,0.001,0.000,0.330,0.004,C:\Python314\Lib\site-packages\torch\nn\functional.py:1710(relu)
14,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\_jit_internal.py:98(is_scripting)
74,0.000,0.000,0.331,0.004,C:\Python314\Lib\site-packages\torch\nn\modules\activation.py:139(forward)
112,0.000,0.000,0.001,0.000,C:\Python314\Lib\site-packages\torch\nn\modules\batchnorm.py:462(_check_input_dim)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\package\package_importer.py:724(_patched_getfile)
28/8,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\utils\_pytree.py:1462(tree_iter)
4,0.000,0.000,0.001,0.000,C:\Python314\Lib\site-packages\torch\autograd\profiler.py:806(__exit__)
118,0.001,0.000,3.789,0.032,C:\Python314\Lib\site-packages\torch\nn\modules\conv.py:534(_conv_forward)
4,0.000,0.000,0.000,0.000,{built-in method torch._ops.profiler._record_function_enter_new}
4,0.001,0.000,0.001,0.000,{built-in method torch._ops.profiler.}
9,0.000,0.000,0.002,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:3072(new)
9,0.000,0.000,0.002,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:3529(_open_core)
9,0.000,0.000,0.012,0.001,C:\Python314\Lib\site-packages\PIL\Image.py:327(preinit)
2,0.000,0.000,0.010,0.005,C:\Python314\Lib\site-packages\torchvision\transforms\functional.py:327(normalize)
35,0.000,0.000,0.008,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:915(convert)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\ImageMode.py:35(getmode)
65,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:577(_new)
2,0.000,0.000,0.010,0.005,C:\Python314\Lib\site-packages\torchvision\transforms\_functional_tensor.py:905(normalize)
48,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\nn\modules\container.py:240(__iter__)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\nn\modules\container.py:408(__iter__)
48/10,0.095,0.002,6.558,0.656,C:\Python314\Lib\site-packages\torch\nn\modules\container.py:248(forward)
8,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\utils\_pytree.py:771(_tuple_flatten)
4,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\utils\_pytree.py:801(_dict_flatten)
28,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\utils\_pytree.py:1048(_get_node_type)
16,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\utils\_pytree.py:1060(tree_is_leaf)
